Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Aquaculture Management Unit,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2011,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,2011-01-15,3,0,0,0,0,n/a,1
2011,January,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,2011-01-17,3,0.3167,0.1333,0,0,n/a,1
2011,January,377,Marine Harvest Canada,Bickley Bay,50.45308,-125.39642,Discovery Islands,Routine monitoring,2011-01-12,3,0.1667,0.0833,0,0,n/a,1
2011,January,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Discovery Islands,Routine monitoring,2011-01-05,3,0.5667,0.2333,0.0167,0,n/a,1
2011,January,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,2011-01-12,3,0.15,0.05,0.3833,0.0667,n/a,2
2011,January,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Routine monitoring,2011-01-29,3,1.0333,0.1333,0,0.1667,n/a,1
2011,January,1164,Marine Harvest Canada,Far Side,50.48576,-125.27429,Discovery Islands,Routine monitoring,2011-01-13,3,0.4333,0.3167,0.0333,0,n/a,2
2011,January,553,Marine Harvest Canada,Frederick Arm,50.46975,-125.26153,Discovery Islands,Routine monitoring,2011-01-12,3,0.1333,0.1,0,0,n/a,2
2011,January,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,2011-01-04,3,0.1833,0.05,0.1667,0.0333,n/a,1
2011,January,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,2011-01-31,3,9.3833,6.0167,0.75,4.1667,n/a,1
2011,January,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,2011-01-14,3,0.2167,0.0333,0.1833,0,n/a,2
2011,January,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Routine monitoring,2011-01-03,3,0.1,0.05,0.0167,0,n/a,2
2011,January,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Follow-up,2011-01-18,3,1.5,0.95,0.0833,0.1667,n/a,2
2011,January,1136,Marine Harvest Canada,Shaw Point,50.48527,-125.88981,Discovery Islands,Routine monitoring,2011-01-19,3,0.8667,0.3,0.5833,0.0333,n/a,2
2011,January,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,January,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Routine monitoring,2011-01-03,3,0.8667,0.3333,0.0167,0,n/a,1
2011,January,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Routine monitoring,2011-01-20,3,0.45,0.1167,0.05,0,n/a,2
2011,January,1079,Grieg Seafood BC,Steamer,49.88761,-126.79088,Esperanza Inlet,Routine monitoring,2011-01-20,3,0.3833,0.15,0,0,n/a,2
2011,January,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Routine monitoring,2011-01-15,3,0.0767,0.02,0.0167,0,n/a,1
2011,January,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,2011-01-23,3,0.0667,0.05,0,0,n/a,1
2011,January,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,2011-01-28,3,0.7667,0.5333,0,0,n/a,2
2011,January,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Routine monitoring,2011-01-06,3,0,0,0,0,n/a,1
2011,January,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Threshold exceedance,2011-01-19,3,3.7167,2.3,0.1,0.3167,Harvesting,2
2011,January,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,Routine monitoring,2011-01-04,3,0,0,0,0,n/a,2
2011,January,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Routine monitoring,2011-01-10,3,1.7833,0.3667,0.3167,0.6,n/a,1
2011,January,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,January,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,Routine monitoring,2011-01-09,3,3,0.6167,0.4,0.3667,n/a,1
2011,January,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,Routine monitoring,2011-01-22,3,2.1333,0.6,1.1,0.8,n/a,1
2011,January,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Routine monitoring,2011-01-08,3,0.6667,0.4667,0,0,n/a,2
2011,January,1338,Marine Harvest Canada,Mahatta East,50.474562,-127.787808,Quatsino Sound,Routine monitoring,2011-01-26,3,0.0167,0,0.0833,0,n/a,2
2011,January,1238,Marine Harvest Canada,Mahatta West,50.4691416,-127.835771,Quatsino Sound,Routine monitoring,2011-01-12,3,0.3,0.1667,0.0333,0,n/a,2
2011,January,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Threshold exceedance,2011-01-15,3,16.8167,7.5,0.6333,0.2833,Harvesting,2
2011,January,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Routine monitoring,2011-01-21,3,1.0333,0.4167,0,0,n/a,2
2011,January,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,2011-01-24,3,0.1167,0.0333,0,0.4667,n/a,1
2011,January,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,2011-01-26,1,0,0,0,0,Sampling methodology does not meet requirements outlined in licence conditions,1
2011,January,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Routine monitoring,2011-01-26,2,0.05,0,0,0,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,February,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.662,Broughton Archipelago,Routine monitoring,2011-02-18,3,0.35,0.0833,0.4167,0.2667,n/a,1
2011,February,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Post in-feed treatment,2011-02-19,3,0.1,0.0333,0.0167,0.0333,n/a,2
2011,February,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,2011-02-24,2,0.4,0.075,0,0,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,February,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Post in-feed treatment,2011-02-05,3,0.05,0.0333,0.0167,0.0167,n/a,1
2011,February,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Broughton Archipelago,Routine monitoring,2011-02-19,3,0.1667,0,0.0667,0.0833,n/a,2
2011,February,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,2011-02-08,3,0.45,0.15,0.0833,0.0333,n/a,1
2011,February,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,Routine monitoring,2011-02-05,3,0.4,0.1,0.0167,0,n/a,2
2011,February,1145,Marine Harvest Canada,Potts Bay,50.6492,-126.6182,Broughton Archipelago,Post in-feed treatment,2011-02-19,2,0.025,0.025,0,0,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,February,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (harvesting),2
2011,February,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,2011-02-25,3,0.0333,0,0,0,n/a,2
2011,February,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,Routine monitoring,2011-02-16,3,0.1333,0,0.4833,0.0833,n/a,1
2011,February,1335,Mainstream Canada,Wehlis Bay,50.8641,-126.92374,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Routine monitoring,2011-02-13,3,0.1167,0.0333,1.4667,0.15,n/a,1
2011,February,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Routine monitoring,2011-02-02,3,0.1667,0.15,0,0.0167,n/a,2
2011,February,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,1691,Marine Harvest Canada,Kid Bay,52.80108,-128.40431,Central Coast,Routine monitoring,2011-02-11,3,0.3667,0.2333,0.05,0.0333,n/a,2
2011,February,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,2011-02-02,3,0.15,0.0167,0.4,0.0333,n/a,1
2011,February,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.3602,Central Coast,Routine monitoring,2011-02-01,2,0.575,0.25,5.45,1.9,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2011,February,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.3602,Central Coast,Routine monitoring,2011-02-26,3,0.4667,0.25,1.6833,0.0833,n/a,1
2011,February,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Routine monitoring,2011-02-08,3,0,0,0,0,n/a,2
2011,February,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,2011-02-01,3,0.1333,0.05,0.0167,0.0833,n/a,2
2011,February,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,2011-02-19,3,0.0667,0.0333,0.1333,0.3833,n/a,2
2011,February,753,Mainstream Canada,Cormorant,49.25719,-125.9244,Clayoquot Sound,Routine monitoring,2011-02-05,3,0.02,0,0,0,n/a,1
2011,February,753,Mainstream Canada,Cormorant,49.25719,-125.9244,Clayoquot Sound,Routine monitoring,2011-02-17,3,0.03,0,0,0,n/a,1
2011,February,234,Mainstream Canada,Dixon Bay,49.405,-126.15055,Clayoquot Sound,Routine monitoring,2011-02-01,3,0.3167,0.15,0.2833,0,n/a,2
2011,February,234,Mainstream Canada,Dixon Bay,49.405,-126.15055,Clayoquot Sound,Routine monitoring,2011-02-17,3,0.4333,0.05,1.45,0.05,n/a,2
2011,February,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Pre-treatment,2011-02-01,3,0.4,0.2333,0,0,n/a,2
2011,February,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Follow-up,2011-02-16,3,0.3167,0.2,0,0.0333,n/a,2
2011,February,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,2011-02-01,3,0.1167,0.0333,0,0.0333,n/a,2
2011,February,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,2011-02-24,3,0.1333,0.0667,0.05,0,n/a,2
2011,February,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Threshold exceedance,2011-02-01,3,11.3167,0.2167,15.6667,0,Management action planned (In-feed treatment),1
2011,February,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Pre-treatment; Follow-up,2011-02-16,3,17.4333,1.8667,25.2333,0,In-feed treatment,2
2011,February,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Routine monitoring,2011-02-02,3,0.1167,0.05,0.1167,0.0833,n/a,2
2011,February,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Routine monitoring,2011-02-16,3,0.3333,0.1333,0.2,0.1,n/a,2
2011,February,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,2011-02-01,3,0.9167,0.2333,3.3833,0.0833,n/a,1
2011,February,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Pre-treatment,2011-02-16,3,1.2167,0.4333,5.4,1.4,In-feed treatment,1
2011,February,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,2011-02-02,3,0,0,0,0,n/a,1
2011,February,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,2011-02-24,3,0.1,0,0.0167,0,n/a,1
2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,2011-02-17,2,0.625,0.425,0.7,0,Sampling methodology does not meet requirements outlined in licence conditions (harvesting),1
2011,February,377,Marine Harvest Canada,Bickley Bay,50.45308,-125.39642,Discovery Islands,Routine monitoring,2011-02-08,3,0.1,0,0.0833,0,n/a,1
2011,February,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Discovery Islands,Routine monitoring,2011-02-01,3,0.1833,0.05,0.0333,0,n/a,1
2011,February,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,2011-02-16,3,0.3667,0.1167,0.1167,0.7,n/a,2
2011,February,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Pre-treatment,2011-02-19,3,0.25,0,1.6833,0,In-feed treatment,1
2011,February,1164,Marine Harvest Canada,Far Side,50.48576,-125.27429,Discovery Islands,Routine monitoring,2011-02-08,3,0.3833,0.3167,0,0,n/a,2
2011,February,553,Marine Harvest Canada,Frederick Arm,50.46975,-125.26153,Discovery Islands,Routine monitoring,2011-02-03,3,0.2333,0.2167,0,0,n/a,2
2011,February,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,2011-02-10,3,0.3,0.0167,0.7833,0.1333,n/a,1
2011,February,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,2011-02-16,3,0.3333,0.0333,0.1833,0.25,n/a,2
2011,February,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Routine monitoring,2011-02-07,3,0.1667,0.1,0,0,n/a,2
2011,February,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Follow-up,2011-02-01,3,0.9667,0.6833,0,0,n/a,2
2011,February,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Post in-feed treatment,2011-02-17,3,0.1167,0.0833,0,0.05,n/a,2
2011,February,1136,Marine Harvest Canada,Shaw Point,50.48527,-125.88981,Discovery Islands,Routine monitoring,2011-02-02,3,0.4333,0.1,0,0,n/a,2
2011,February,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,2011-02-09,3,1.4,0.1833,0.35,0.4,n/a,1
2011,February,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Routine monitoring,2011-02-01,3,0.0833,0.0167,0.0667,0.0333,n/a,2
2011,February,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Routine monitoring,2011-02-19,3,0.45,0.1167,0.05,0,n/a,2
2011,February,1079,Grieg Seafood BC,Steamer,49.88761,-126.79088,Esperanza Inlet,Routine monitoring,2011-02-24,3,0.7667,0.25,0.3667,0.05,n/a,2
2011,February,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Routine monitoring,2011-02-25,3,0.2667,0.0667,0.0333,0,n/a,1
2011,February,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Routine monitoring,2011-02-27,3,0.25,0,1.6833,0,n/a,1
2011,February,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,2011-02-20,3,0.1167,0.0167,0,0,n/a,2
2011,February,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,2011-02-04,3,0.8167,0.6167,0,0,n/a,2
2011,February,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Routine monitoring,2011-02-04,3,0,0,0,0,n/a,1
2011,February,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (harvesting),2
2011,February,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (harvesting),2
2011,February,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),1
2011,February,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,Port Hardy,Routine monitoring,2011-02-17,3,0,0,0,0,n/a,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,Pre-treatment,2011-02-05,3,2.8,0.5667,0.65,2.0167,In-feed treatment,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,Follow-up,2011-02-18,3,1.85,0.65,0.4833,0.6833,n/a,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48187917,-127.7336708,Quatsino Sound,Follow-up,2011-02-25,2,1.7,0.225,0.7,0.225,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2011,February,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Routine monitoring,2011-02-14,3,0.2333,0.1,0.05,0.1167,n/a,2
2011,February,1338,Marine Harvest Canada,Mahatta East,50.474562,-127.787808,Quatsino Sound,Routine monitoring,2011-02-10,3,1.1333,0.7,1.6167,0,n/a,2
2011,February,1238,Marine Harvest Canada,Mahatta West,50.4691416,-127.835771,Quatsino Sound,Routine monitoring,2011-02-10,3,0.4333,0.1333,1.0667,0.0667,n/a,2
2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (harvesting),2
2011,February,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Routine monitoring,2011-02-18,3,1.9833,0.4333,0,0,n/a,2
2011,February,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,2011-02-26,3,0.3,0.0833,0,0.2167,n/a,2
2011,February,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,2011-02-26,2,0.025,0,0,0,Sampling methodology does not meet requirements outlined in licence conditions,1
2011,February,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Routine monitoring,2011-02-26,2,0.025,0,0,0,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,March,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.662,Broughton Archipelago,Routine monitoring,2011-03-05,3,0.25,0.15,0.2667,0.4667,n/a,1
2011,March,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.662,Broughton Archipelago,Routine monitoring,2011-03-25,3,0.2833,0.05,0.2167,0.0667,n/a,1
2011,March,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Routine monitoring,2011-03-05,3,0.2333,0.1167,0.0167,0,n/a,2
2011,March,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Routine monitoring,2011-03-16,3,0.15,0.15,0.05,0,n/a,2
2011,March,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (<4 pens),Brood
2011,March,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,2011-03-12,2,0.475,0.175,0,0,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,March,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,n/a,0,n/a,n/a,n/a,n/a,Count(s) not required (broodstock in spawning year),Brood
