facility_id,year,month,day,fish_selected,num_pens_sampled,chalimus_ab,lep_motile_ab,lep_af_ab,cal_motile_ab,sample_type,comments
24,2011,2,1.0,,3,0.0333,0.1833,0.05,0.0,Routine monitoring,
29,2011,2,16.0,,3,0.1167,0.3667,0.1167,0.7,Routine monitoring,
39,2011,2,19.0,,3,1.6833,0.25,0.0,0.0,Pre-treatment,In-feed treatment
61,2011,2,8.0,,3,0.0,0.3833,0.3167,0.0,Routine monitoring,
63,2011,2,3.0,,3,0.0,0.2333,0.2167,0.0,Routine monitoring,
73,2011,2,10.0,,3,0.7833,0.3,0.0167,0.1333,Routine monitoring,
92,2011,2,16.0,,3,0.1833,0.3333,0.0333,0.25,Routine monitoring,
121,2011,2,7.0,,3,0.0,0.1667,0.1,0.0,Routine monitoring,
131,2011,2,1.0,,3,0.0,0.9667,0.6833,0.0,Follow-up,
131,2011,2,17.0,,3,0.0,0.1167,0.0833,0.05,Post in-feed treatment,
141,2011,2,2.0,,3,0.0,0.4333,0.1,0.0,Routine monitoring,
148,2011,2,9.0,,3,0.35,1.4,0.1833,0.4,Routine monitoring,
160,2011,2,1.0,,3,0.0667,0.0833,0.0167,0.0333,Routine monitoring,
58,2011,2,19.0,,3,0.05,0.45,0.1167,0.0,Routine monitoring,
152,2011,2,24.0,,3,0.3667,0.7667,0.25,0.05,Routine monitoring,
7,2011,2,25.0,,3,0.0333,0.2667,0.0667,0.0,Routine monitoring,
37,2011,2,27.0,,3,1.6833,0.25,0.0,0.0,Routine monitoring,
108,2011,2,20.0,,3,0.0,0.1167,0.0167,0.0,Routine monitoring,
174,2011,2,4.0,,3,0.0,0.8167,0.6167,0.0,Routine monitoring,
15,2011,2,4.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
52,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
53,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
102,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
130,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
143,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
144,2011,2,17.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
88,2011,2,14.0,,3,0.05,0.2333,0.1,0.1167,Routine monitoring,
99,2011,2,10.0,,3,1.6167,1.1333,0.7,0.0,Routine monitoring,
100,2011,2,10.0,,3,1.0667,0.4333,0.1333,0.0667,Routine monitoring,
107,2011,2,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
1,2011,2,18.0,,3,0.0,1.9833,0.4333,0.0,Routine monitoring,
44,2011,2,26.0,,3,0.0,0.3,0.0833,0.2167,Routine monitoring,
135,2011,2,26.0,,2,0.0,0.025,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
59,2011,2,26.0,,2,0.0,0.025,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens)
5,2011,3,5.0,,3,0.2667,0.25,0.15,0.4667,Routine monitoring,
5,2011,3,25.0,,3,0.2167,0.2833,0.05,0.0667,Routine monitoring,
25,2011,3,5.0,,3,0.0167,0.2333,0.1167,0.0,Routine monitoring,
25,2011,3,16.0,,3,0.05,0.15,0.15,0.0,Routine monitoring,
27,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
45,2011,3,12.0,,2,0.0,0.475,0.175,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
45,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (broodstock in spawning year)
51,2011,3,7.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
51,2011,3,19.0,,3,0.0667,0.0,0.0,0.0,Routine monitoring,
103,2011,3,6.0,,3,0.0,0.0167,0.0167,0.0,Routine monitoring,
103,2011,3,14.0,,4,0.0125,0.0,0.0,0.0125,Routine monitoring,
113,2011,3,5.0,,2,0.075,0.3,0.175,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
113,2011,3,19.0,,3,0.36,0.4267,0.2,0.0667,Pre-treatment,In-feed treatment
124,2011,3,5.0,,3,0.0,0.0833,0.05,0.0167,Routine monitoring,
124,2011,3,16.0,,3,0.0,0.1,0.0167,0.0,Routine monitoring,
125,2011,3,13.0,,2,0.0,0.025,0.0,0.1,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
125,2011,3,27.0,,2,0.0,0.0,0.0,0.075,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
145,2011,3,,,0,,,,,Routine monitoring,Fallow
146,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
156,2011,3,13.0,,3,0.1667,0.0333,0.0,0.05,Routine monitoring,
156,2011,3,27.0,,3,0.4667,0.1167,0.0,0.0667,Routine monitoring,
164,2011,3,9.0,,3,0.7,0.1,0.0,0.2667,Routine monitoring,
164,2011,3,20.0,,3,0.5667,0.1333,0.0167,0.6833,Routine monitoring,
171,2011,3,1.0,,3,0.2167,0.0833,0.0,0.05,Routine monitoring,
171,2011,3,,,0,,,,,Routine monitoring,Count(s) not performed (health management action)
173,2011,3,13.0,,3,2.5833,0.0833,0.0333,0.4167,Routine monitoring,
173,2011,3,27.0,,3,1.4167,0.2833,0.0833,0.9833,Routine monitoring,
70,2011,3,6.0,,3,0.0833,0.25,0.15,0.0167,Routine monitoring,
70,2011,3,16.0,,3,0.1,0.0667,0.0667,0.0,Routine monitoring,
82,2011,3,15.0,,3,0.45,0.0667,0.0333,0.2667,Routine monitoring,
82,2011,3,26.0,,3,0.1333,0.1333,0.0833,0.3833,Routine monitoring,
85,2011,3,6.0,,3,0.2667,0.4833,0.2833,0.0167,Routine monitoring,
85,2011,3,17.0,,3,0.2333,0.2833,0.15,0.0,Routine monitoring,
94,2011,3,18.0,,3,0.3,0.05,0.0333,0.0,Routine monitoring,
94,2011,3,,,0,,,,,Routine monitoring,Count(s) not performed
96,2011,3,12.0,,3,1.8167,0.5167,0.1333,0.6,Routine monitoring,
96,2011,3,25.0,,3,1.5333,0.4333,0.2333,0.7167,Routine monitoring,
142,2011,3,19.0,,3,0.2167,0.05,0.05,0.0,Routine monitoring,
142,2011,3,26.0,,3,0.8,0.1833,0.05,0.0,Routine monitoring,
12,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
14,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
19,2011,3,4.0,,3,0.2,0.4,0.3,0.5,Routine monitoring,
19,2011,3,20.0,,3,0.3333,0.55,0.4333,0.85,Routine monitoring,
50,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
62,2011,3,6.0,,3,0.0,0.0833,0.05,0.0,Follow-up,
62,2011,3,19.0,,3,0.0,0.0,0.0,0.0,Post in-feed treatment,
98,2011,3,1.0,,3,0.0833,0.4167,0.1167,0.0167,Routine monitoring,
98,2011,3,19.0,,3,0.05,0.25,0.1,0.0667,Routine monitoring,
106,2011,3,5.0,,3,7.0333,0.3,0.0167,0.0333,Follow-up,
106,2011,3,16.0,,3,0.0167,0.0167,0.0,0.0,Post in-feed treatment,
129,2011,3,3.0,,3,0.0833,0.25,0.0833,0.0833,Routine monitoring,
129,2011,3,19.0,,3,0.0,0.65,0.2833,0.0833,Routine monitoring,
134,2011,3,16.0,,3,1.6667,0.3,0.1167,0.0,Follow-up,
134,2011,3,,,0,,,,,Follow-up,Count(s) not required (<21 days post in-feed treatment)
172,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (transferring)
11,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
24,2011,3,1.0,,3,0.0,0.05,0.0,0.0,Routine monitoring,
24,2011,3,7.0,,3,0.25,0.0833,0.0667,0.05,Routine monitoring,
24,2011,3,21.0,,3,0.3667,0.0,0.0,0.0,Routine monitoring,
29,2011,3,16.0,,3,0.383333333,0.616666667,0.266666667,0.45,Routine monitoring,
29,2011,3,23.0,,3,0.066666667,1.266666667,0.2,0.3,Routine monitoring,
39,2011,3,,,0,,,,,Follow-up,Count(s) not required (<21 days post in-feed treatment)
39,2011,3,,,0,,,,,Follow-up,Count(s) not required (<21 days post in-feed treatment)
61,2011,3,7.0,,3,0.1333,0.6,0.5,0.0,Routine monitoring,
61,2011,3,19.0,,3,0.2167,0.0833,0.05,0.0333,Routine monitoring,
63,2011,3,3.0,,3,0.0,0.2,0.2,0.0,Routine monitoring,
63,2011,3,20.0,,3,0.0,0.1167,0.0833,0.0,Routine monitoring,
73,2011,3,3.0,,3,1.8333,0.3333,0.05,0.6333,Routine monitoring,
73,2011,3,20.0,,3,2.6,0.6167,0.15,1.05,Routine monitoring,
92,2011,3,11.0,,3,0.1333,0.2333,0.0333,0.15,Routine monitoring,
92,2011,3,23.0,,3,1.55,0.8167,0.3,0.8833,Routine monitoring,
121,2011,3,5.0,,2,0.0,0.475,0.15,0.0,Routine monitoring,
121,2011,3,22.0,,3,0.0,0.2,0.1,0.0,Routine monitoring,
131,2011,3,3.0,,3,0.0,0.3167,0.2167,0.0333,Routine monitoring,
131,2011,3,18.0,,3,0.0,0.15,0.0667,0.0667,Routine monitoring,
141,2011,3,6.0,,3,0.166666667,0.333333333,0.15,0.083333333,Routine monitoring,
141,2011,3,16.0,,3,0.05,0.466666667,0.35,0.0,Routine monitoring,
148,2011,3,10.0,,3,3.2333,1.8833,0.3167,1.5,Routine monitoring,
148,2011,3,24.0,,3,2.3333,3.1167,0.4667,1.4,Threshold exceedance,Management action planned (In-feed treatment)
160,2011,3,1.0,,3,0.2167,0.0333,0.0167,0.0333,Routine monitoring,
160,2011,3,15.0,,3,0.4,0.0833,0.0167,0.2833,Routine monitoring,
58,2011,3,21.0,,4,0.095,1.4075,0.615,0.0,Pre-treatment,In-feed treatment
152,2011,3,6.0,,2,0.0,0.6,0.275,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
152,2011,3,18.0,,3,0.0,1.1833,0.4767,0.0,Pre-treatment,In-feed treatment
7,2011,3,13.0,,2,0.215,0.38,0.07,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
7,2011,3,20.0,,3,0.0333,0.3933,0.2333,0.0,Routine monitoring,
37,2011,3,18.0,,2,0.0,0.025,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
37,2011,3,25.0,,3,0.0,0.1767,0.0,0.0,Routine monitoring,
108,2011,3,26.0,,3,0.01,0.4533,0.1867,0.0433,Routine monitoring,
108,2011,3,,,0,,,,,Routine monitoring,Count(s) not performed
174,2011,3,5.0,,3,0.0,0.8833,0.3667,0.0,Routine monitoring,
174,2011,3,21.0,,3,0.0,0.75,0.4333,0.0,Routine monitoring,
15,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
52,2011,3,,,0,,,,,Routine monitoring,Fallow
53,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
102,2011,3,5.0,,3,0.4833,1.35,0.25,0.6667,Routine monitoring,
102,2011,3,28.0,,4,0.7,0.825,0.175,0.3375,Routine monitoring,
130,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
143,2011,3,18.0,,3,0.0333,0.0,0.0,0.0833,Routine monitoring,
143,2011,3,30.0,,3,0.05,0.0167,0.0,0.1333,Routine monitoring,
144,2011,3,15.0,,3,0.0167,0.0667,0.0,0.0,Routine monitoring,
144,2011,3,22.0,,3,0.0,0.1333,0.0167,0.0,Routine monitoring,
88,2011,3,6.0,,3,0.15,0.1333,0.0833,0.0167,Routine monitoring,
88,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
99,2011,3,14.0,,3,1.6167,1.7167,0.5833,0.1,Routine monitoring,
99,2011,3,28.0,,3,1.0667,1.0667,0.5833,0.0833,Routine monitoring,
100,2011,3,9.0,,2,1.025,0.475,0.225,0.025,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (extenuating circumstances)
100,2011,3,28.0,,3,0.7167,0.7833,0.3833,0.2333,Routine monitoring,
107,2011,3,,,0,,,,,Routine monitoring,Fallow
1,2011,3,14.0,,2,0.0,0.425,0.225,7.9,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
1,2011,3,31.0,,3,0.35,0.4433,0.3167,5.0667,Pre-treatment,In-feed treatment
44,2011,3,8.0,,2,0.0,0.45,0.175,0.55,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions
44,2011,3,22.0,,3,0.0,0.2,0.1167,0.5667,Pre-treatment,In-feed treatment
135,2011,3,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
59,2011,3,14.0,,2,0.0,0.125,0.015,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens)
5,2011,4,7.0,,3,0.2333,0.1667,0.0333,0.1167,Routine monitoring,
5,2011,4,15.0,,3,0.8,0.3,0.2167,0.6833,Routine monitoring,
25,2011,4,4.0,,3,0.0833,0.1167,0.1333,0.0,Routine monitoring,
25,2011,4,17.0,,3,0.3667,0.0333,0.0333,0.0,Routine monitoring,
27,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
45,2011,4,17.0,,2,0.0,0.8,0.45,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
45,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
51,2011,4,3.0,,3,0.2167,0.0167,0.0,0.0167,Routine monitoring,
51,2011,4,14.0,,4,1.65,0.0125,0.0,0.025,Routine monitoring,
51,2011,4,30.0,,3,1.6,0.0,0.0,0.0,Routine monitoring,
103,2011,4,3.0,,3,0.0333,0.0667,0.0333,0.0167,Routine monitoring,
103,2011,4,18.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
113,2011,4,9.0,,2,0.0,0.375,0.075,0.55,Follow-up,Sampling methodology does not meet requirements outlined in licence conditions
113,2011,4,18.0,,3,0.0,0.0667,0.0267,0.01,Follow-up,
124,2011,4,2.0,,3,0.0,0.0167,0.0167,0.0,Routine monitoring,
124,2011,4,18.0,,3,0.0,0.05,0.0333,0.0333,Routine monitoring,
125,2011,4,5.0,,2,5.6,0.0,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
125,2011,4,20.0,,2,3.275,0.0,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year)
140,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
146,2011,4,,,0,,,,,Routine monitoring,Fallow
156,2011,4,8.0,,3,0.4167,0.0667,0.0,0.2167,Routine monitoring,
156,2011,4,23.0,,3,0.3667,0.0,0.0,0.2,Routine monitoring,
164,2011,4,1.0,,3,0.45,0.1333,0.0333,0.6833,Routine monitoring,
164,2011,4,16.0,,3,0.55,0.3167,0.05,0.05,Routine monitoring,
171,2011,4,4.0,,3,0.0,0.1833,0.05,0.0167,Routine monitoring,
171,2011,4,17.0,,3,0.3833,0.1833,0.0,0.0,Routine monitoring,
173,2011,4,10.0,,3,1.2,0.3833,0.0333,0.9,Routine monitoring,
173,2011,4,24.0,,3,4.75,0.3667,0.1,0.8167,Routine monitoring,
70,2011,4,2.0,,3,0.5167,0.1833,0.1167,0.0167,Routine monitoring,
70,2011,4,19.0,,3,1.0833,0.25,0.0667,0.0333,Routine monitoring,
82,2011,4,4.0,,3,0.3833,0.1,0.0,0.2,Routine monitoring,
82,2011,4,30.0,,3,0.4167,0.0833,0.0,0.25,Routine monitoring,
85,2011,4,2.0,,3,0.0667,0.4667,0.3167,0.0333,Routine monitoring,
85,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
94,2011,4,14.0,,3,0.3,0.1167,0.05,0.0,Routine monitoring,
94,2011,4,30.0,,3,0.6167,0.2333,0.0333,0.0167,Routine monitoring,
96,2011,4,3.0,,3,1.1667,0.6333,0.0667,3.2,Routine monitoring,
96,2011,4,29.0,,3,1.0833,0.4667,0.0667,0.9833,Routine monitoring,
142,2011,4,6.0,,3,0.8667,0.2833,0.1,0.0333,Routine monitoring,
142,2011,4,24.0,,3,1.0167,0.4667,0.1333,0.0333,Routine monitoring,
9,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
12,2011,4,16.0,,3,0.1167,0.0333,0.0,0.0,Routine monitoring,
12,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
14,2011,4,5.0,,3,0.1667,0.0667,0.0,0.0,Routine monitoring,
14,2011,4,,,0,,,,,Routine monitoring,Count(s) not performed (health management action)
19,2011,4,1.0,,3,0.2833,0.4833,0.35,0.75,Routine monitoring,
19,2011,4,18.0,,3,0.4167,1.0667,0.9167,3.3833,Routine monitoring,
50,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (harvesting)
62,2011,4,4.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
62,2011,4,18.0,,3,0.0,0.0,0.0,0.0,Routine monitoring,
98,2011,4,1.0,,3,0.1167,0.4,0.1,0.05,Routine monitoring,
98,2011,4,16.0,,3,0.2167,0.9833,0.3167,0.1833,Routine monitoring,
106,2011,4,2.0,,3,0.0667,0.0667,0.0,0.0,Routine monitoring,
106,2011,4,16.0,,3,0.1333,0.0167,0.0,0.0167,Routine monitoring,
110,2011,4,2.0,,2,0.15,0.05,0.0,0.0,Routine monitoring,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens)
110,2011,4,19.0,,3,0.1,0.2,0.05,0.05,Routine monitoring,
129,2011,4,4.0,,3,0.0333,1.4667,0.5,0.0,Routine monitoring,
129,2011,4,16.0,,3,0.0667,1.1333,0.3667,0.0333,Routine monitoring,
134,2011,4,3.0,,3,0.0833,0.1167,0.0333,0.0833,Post in-feed treatment,
134,2011,4,17.0,,3,0.3167,0.0833,0.0167,0.15,Routine monitoring,
139,2011,4,,,0,,,,,Routine monitoring,Count(s) not required (<4 pens)
172,2011,4,1.0,,2,0.15,0.2,0.025,0.025,Routine monitoring,
172,2011,4,21.0,,3,0.1,0.3167,0.0667,0.0,Routine monitoring,
11,2011,4,,,0,,,,,Routine monitoring,Fallow
